" 表 2-7 失業者－按失業原因分 ","","","","",""," Table 2-7 Unemployed  Persons by Reason for Unemployment","","","","","",
" ","","","","  單位：千人","","","","","","  Unit：Thousand Persons","",
" ","","","  非初次尋職者","","","",""," Experienced job-seekers","","","",
" 年　 　別 ","  總　計"," 初次尋職者","","",,,,,,,,
" ","","","  計"," 工作場所業務"," 對原有工作","  　季節性或","  健康不良"," 女性結婚或生育","  退休","  家務太忙","  其他",
" ","","","","   緊縮或歇業"," 　不滿意"," 臨時性工作結束","","","","","",
,,,,,"","    Seasonal or","","","","","",
,,,,,"","","","   Female got","","","",
" Year Grand total ",""," New job-seekers","  Total"," Establishment business"," Not satisfied to     that job","     temporary work of that job","  Ill health"," married or gave","  Retirement","     Busy inhousekeeping","  Others",
" ","","",""," shrunk or closed",,,,,,,,
,,,,,"","     completed","","        birth","","","",
"  67年平均  Avg. 1978 ","106","59","47","8","23","3","3","0","2","0","7",
"  68年平均  Avg. 1979 ","83","45","38","6","20","3","2","0","1","0","5",
"  69年平均  Avg. 1980 ","82","44","38","6","21","3","2","0","0","0","5",
"  70年平均  Avg. 1981 ","92","47","44","8","24","4","2","0","0","0","5",
"  71年平均  Avg. 1982 ","149","61","88","22","36","12","4","0","1","0","12",
"  72年平均  Avg. 1983 ","197","73","124","28","52","19","5","1","1","0","17",
"  73年平均  Avg. 1984 ","183","70","113","21","54","17","5","1","1","0","15",
"  74年平均  Avg. 1985 ","222","75","148","54","55","17","5","1","1","0","15",
"  75年平均  Avg. 1986 ","212","73","138","39","59","18","6","1","1","0","13",
"  76年平均  Avg. 1987 ","161","58","103","22","55","10","4","1","1","1","10",
"  77年平均  Avg. 1988 ","139","51","88","17","50","8","4","0","1","1","9",
"  78年平均  Avg. 1989 ","132","46","86","18","49","6","3","1","1","0","8",
"  79年平均  Avg. 1990 ","140","47","93","24","50","6","3","0","0","0","9",
"  80年平均  Avg. 1991 ","130","43","87","21","46","8","3","0","0","0","8",
"  81年平均  Avg. 1992 ","132","46","87","16","49","8","4","0","0","1","9",
"  82年平均  Avg. 1993 ","128","41","87","18","50","7","3","1","0","0","8",
"  83年平均  Avg. 1994 ","142","43","99","19","57","9","3","1","1","0","9",
"  84年平均  Avg. 1995 ","165","47","118","29","66","10","3","1","1","0","9",
"  85年平均  Avg. 1996 ","242","56","186","68","79","19","5","1","2","1","12",
"  86年平均  Avg. 1997 ","256","57","199","71","84","22","7","1","1","1","12",
"  87年平均  Avg. 1998 ","257","59","198","71","82","25","6","1","1","1","11",
"  88年平均  Avg. 1999 ","283","60","222","91","86","26","6","1","1","1","12",
"  89年平均  Avg. 2000 ","293","58","235","90","95","29","6","1","1","1","11",
"  90年平均  Avg. 2001 ","450","75","375","206","88","52","8","2","1","2","15",
"  91年平均  Avg. 2002 ","515","81","435","248","110","47","9","2","2","2","15",
"  92年平均  Avg. 2003 ","503","85","418","228","111","50","10","3","3","2","12",
"  93年平均  Avg. 2004 ","454","85","369","158","131","49","11","3","2","2","11",
"  94年平均  Avg. 2005 ","428","82","346","130","140","49","11","3","3","3","7",
"  95年平均  Avg. 2006 ","411","82","329","117","141","44","9","3","3","2","9",
"  96年平均  Avg. 2007 ","419","87","332","126","138","41","10","4","3","3","7",
"  97年平均  Avg. 2008 ","450","93","357","152","139","43","9","3","2","3","6",
"  98年平均  Avg. 2009 ","639","102","536","337","119","57","10","2","3","3","7",
"  99年平均  Avg. 2010 ","577","105","472","240","142","64","11","2","2","4","7",
" 100年平均  Avg. 2011 ","491","100","391","148","160","56","10","3","2","4","7",
" 101年平均  Avg. 2012 ","481","105","375","137","162","50","10","3","2","4","7",
" 102年平均  Avg. 2013 ","478","112","366","139","161","44","10","2","2","3","6",
" 103年平均  Avg. 2014 ","457","105","352","128","161","42","9","2","1","3","5",
" 104年平均  Avg. 2015 ","440","101","339","116","161","44","9","2","1","2","5",
" 105年平均  Avg. 2016 ","460","109","351","121","162","47","10","3","1","3","5",
" 資料來源： 行政院主計總處「人力資源調查」。 ","","","",""," Source：  Directorate-General of Budget, Accounting and Statistics, Executive Yuan "Manpower Survey".","","","","","","",
" ","","   -18-","","","","","","    -19-","","","",
