"","  表 13-6 產業及社福外籍勞工人數－按地區及國籍分","","","","","","",
""," Table 13-6 Foreign Workers in Productive Industries and Social Welfare","","","","","","",
"","","  by Area and Nationality","","","","","",
"","","  中華民國105年底","","  End of 2016","","  單位：人"," Unit：Person",
"  地      區      別","","  總　計"," 印　　尼","  菲 律 賓"," 泰　　國"," 越　　南"," 其　　他",
"","  Area","  Grand"," Indonesia"," Philippines"," Thailand"," Vietnam","  Others",
"","","  total","","","","","",
" 總　　計"," Grand total","624768","245180","135797","58869","184920","2",
" 　新北市"," New Taipei City","88713","37754","12352","8178","30428","1",
" 　臺北市"," Taipei City","45168","33214","7054","1497","3402","1",
" 　桃園市"," Taoyuan City","101255","25994","28662","16483","30116","0",
" 　臺中市"," Taichung City","88993","29272","15717","9541","34463","0",
" 　臺南市"," Tainan City","55718","17406","15691","5079","17542","0",
" 　高雄市"," Kaohsiung City","52801","20376","15168","2590","14667","0",
" 　宜蘭縣"," Yilan County","12303","6508","2157","633","3005","0",
" 　新竹縣"," Hsinchu County","25471","6120","11548","1898","5905","0",
" 　苗栗縣"," Miaoli County","19696","7443","6226","1856","4171","0",
" 　彰化縣"," Changhwa County","48538","16306","5486","5697","21049","0",
" 　南投縣"," Nantou County","11286","5507","1016","1353","3410","0",
" 　雲林縣"," Yunlin County","16882","7814","1715","1466","5887","0",
" 　嘉義縣"," Chiayi County","10842","5707","1396","1023","2716","0",
" 　屏東縣"," Pingtung County","13048","7144","2180","361","3363","0",
" 　臺東縣"," Taitung County","2367","1720","285","1","361","0",
" 　花蓮縣"," Hwalien County","6067","3254","1514","649","650","0",
" 　澎湖縣"," Penghu County","2973","2369","329","0","275","0",
" 　基隆市"," Keelung City","5362","3516","711","225","910","0",
" 　新竹市"," Hsinchu City","12855","4776","5985","258","1836","0",
" 　嘉義市"," Chiayi City","3370","2196","514","81","579","0",
" 　金門縣"," Kinmen County","896","668","72","0","156","0",
" 　連江縣"," Lienchiang County","164","116","19","0","29","0",
" 資料來源：","  勞動部勞動力發展署。","","","","","","",
" 說　　明：","  「其他」包含馬來西亞、蒙古等其他國籍。","","","","","","",
" Source： Workforce Development Agency, MOL.","","","","","","","",
" Note： ”Others” includes Malaysia, Mongolia, and other countries.","","","","","","","",
"","","","   -370-","","","","",
